timestamp,web_acl,regra,acao,source_ip,uri,country,http_method,status_code,user_agent
2026-03-30 03:01:43.286,WEBACL-ALB,Default_Action,ALLOW,52.22.236.30,/,US,HEAD,0,
2026-03-30 03:01:42.686,WEBACL-ALB,Default_Action,ALLOW,54.87.112.51,/,US,HEAD,0,
2026-03-30 03:01:42.674,WEBACL-ALB,Default_Action,ALLOW,54.87.112.51,/,US,HEAD,0,
2026-03-30 03:01:37.526,WEBACL-ALB,Default_Action,ALLOW,178.156.187.238,/,US,HEAD,0,
2026-03-30 03:01:37.508,WEBACL-ALB,Default_Action,ALLOW,178.156.187.238,/,US,HEAD,0,
2026-03-30 03:01:29.377,WEBACL-ALB,Default_Action,ALLOW,178.156.189.249,/,US,HEAD,0,
2026-03-30 03:01:29.359,WEBACL-ALB,Default_Action,ALLOW,178.156.189.249,/,US,HEAD,0,
2026-03-30 03:01:25.736,WEBACL-ALB,Default_Action,ALLOW,173.252.107.113,/meta.json,US,GET,0,
2026-03-30 03:01:25.604,WEBACL-ALB,Default_Action,ALLOW,173.252.107.9,/meta.json,US,GET,0,
2026-03-30 03:01:16.245,WEBACL-ALB,Default_Action,ALLOW,178.156.189.249,/,US,HEAD,0,
2026-03-30 03:01:14.213,WEBACL-ALB,Default_Action,ALLOW,114.119.155.10,/,SG,GET,0,
2026-03-30 03:01:13.383,WEBACL-ALB,Default_Action,ALLOW,114.119.155.10,/404,SG,GET,0,
2026-03-30 03:01:08.873,WEBACL-ALB,Default_Action,ALLOW,178.156.187.238,/,US,HEAD,0,
2026-03-30 03:01:08.859,WEBACL-ALB,Default_Action,ALLOW,178.156.187.238,/,US,HEAD,0,
2026-03-30 03:01:08.742,WEBACL-ALB,Default_Action,ALLOW,5.161.75.7,/,US,HEAD,0,
2026-03-30 03:01:03.513,WEBACL-ALB,Default_Action,ALLOW,54.167.223.174,/,US,HEAD,0,
2026-03-30 03:01:03.497,WEBACL-ALB,Default_Action,ALLOW,54.167.223.174,/,US,HEAD,0,
2026-03-30 03:00:59.619,WEBACL-ALB,Default_Action,ALLOW,35.233.95.0,/,BE,GET,0,
2026-03-30 03:00:55.000,WEBACL-ALB,Default_Action,ALLOW,178.156.185.231,/,US,HEAD,0,
2026-03-30 03:00:54.959,WEBACL-ALB,Default_Action,ALLOW,178.156.185.231,/,US,HEAD,0,
2026-03-30 03:00:47.025,WEBACL-ALB,Default_Action,ALLOW,146.75.191.27,/,BR,GET,0,
2026-03-30 03:00:46.579,WEBACL-ALB,Default_Action,ALLOW,146.75.191.27,/,BR,GET,0,
2026-03-30 03:00:42.701,WEBACL-ALB,Default_Action,ALLOW,128.140.106.114,/,DE,HEAD,0,
2026-03-30 03:00:42.013,WEBACL-ALB,Default_Action,ALLOW,128.140.106.114,/,DE,HEAD,0,
2026-03-30 03:00:41.746,WEBACL-ALB,Default_Action,ALLOW,128.140.106.114,/,DE,HEAD,0,
2026-03-30 03:00:40.882,WEBACL-ALB,Default_Action,ALLOW,52.87.72.16,/,US,HEAD,0,
2026-03-30 03:00:34.523,WEBACL-ALB,Default_Action,ALLOW,5.161.73.160,/,US,HEAD,0,
2026-03-30 03:00:34.520,WEBACL-ALB,Default_Action,ALLOW,54.87.112.51,/,US,HEAD,0,
2026-03-30 03:00:34.507,WEBACL-ALB,Default_Action,ALLOW,54.87.112.51,/,US,HEAD,0,
2026-03-30 03:00:29.506,WEBACL-ALB,Default_Action,ALLOW,52.87.72.16,/,US,HEAD,0,
2026-03-30 03:00:29.496,WEBACL-ALB,Default_Action,ALLOW,52.87.72.16,/,US,HEAD,0,
2026-03-30 03:00:20.028,WEBACL-ALB,Default_Action,ALLOW,5.161.215.244,/,US,HEAD,0,
2026-03-30 03:00:20.008,WEBACL-ALB,Default_Action,ALLOW,5.161.215.244,/,US,HEAD,0,
2026-03-30 03:00:06.738,WEBACL-ALB,Default_Action,ALLOW,5.161.113.195,/,US,HEAD,0,
2026-03-30 02:59:59.781,WEBACL-ALB,Default_Action,ALLOW,5.161.177.47,/,US,HEAD,0,
2026-03-30 02:59:59.764,WEBACL-ALB,Default_Action,ALLOW,5.161.177.47,/,US,HEAD,0,
2026-03-30 02:59:59.557,WEBACL-ALB,Default_Action,ALLOW,52.87.72.16,/,US,HEAD,0,
2026-03-30 02:59:55.721,WEBACL-ALB,Default_Action,ALLOW,5.161.113.195,/,US,HEAD,0,
2026-03-30 02:59:55.702,WEBACL-ALB,Default_Action,ALLOW,5.161.113.195,/,US,HEAD,0,
2026-03-30 02:59:45.848,WEBACL-ALB,Default_Action,ALLOW,3.212.128.62,/,US,HEAD,0,
2026-03-30 02:59:45.837,WEBACL-ALB,Default_Action,ALLOW,3.212.128.62,/,US,HEAD,0,
2026-03-30 02:59:32.397,WEBACL-ALB,Default_Action,ALLOW,5.161.215.244,/,US,HEAD,0,
2026-03-30 02:59:25.052,WEBACL-ALB,Default_Action,ALLOW,178.156.185.127,/,US,HEAD,0,
2026-03-30 02:59:25.038,WEBACL-ALB,Default_Action,ALLOW,178.156.185.127,/,US,HEAD,0,
2026-03-30 02:59:25.020,WEBACL-ALB,Default_Action,ALLOW,3.212.128.62,/,US,HEAD,0,
2026-03-30 02:59:22.208,WEBACL-ALB,Default_Action,ALLOW,54.167.223.174,/,US,HEAD,0,
2026-03-30 02:59:22.197,WEBACL-ALB,Default_Action,ALLOW,54.167.223.174,/,US,HEAD,0,
2026-03-30 02:59:12.581,WEBACL-ALB,Default_Action,ALLOW,3.133.226.214,/,US,HEAD,0,
2026-03-30 02:59:12.535,WEBACL-ALB,Default_Action,ALLOW,3.133.226.214,/,US,HEAD,0,
2026-03-30 02:59:04.207,WEBACL-ALB,Default_Action,ALLOW,167.235.143.113,/,DE,HEAD,0,
2026-03-30 02:59:03.807,WEBACL-ALB,Default_Action,ALLOW,167.235.143.113,/,DE,HEAD,0,
2026-03-30 02:58:56.901,WEBACL-ALB,Default_Action,ALLOW,178.156.181.172,/,US,HEAD,0,
2026-03-30 02:58:51.828,WEBACL-ALB,Default_Action,ALLOW,178.156.181.172,/,US,HEAD,0,
2026-03-30 02:58:51.807,WEBACL-ALB,Default_Action,ALLOW,178.156.181.172,/,US,HEAD,0,
2026-03-30 02:58:51.535,WEBACL-ALB,Default_Action,ALLOW,157.55.39.9,/,US,GET,0,
2026-03-30 02:58:51.339,WEBACL-ALB,Default_Action,ALLOW,5.161.75.7,/,US,HEAD,0,
2026-03-30 02:58:50.319,WEBACL-ALB,Default_Action,ALLOW,40.77.167.184,/robots.txt,US,GET,0,
2026-03-30 02:58:48.537,WEBACL-ALB,Default_Action,ALLOW,52.87.72.16,/,US,HEAD,0,
2026-03-30 02:58:48.529,WEBACL-ALB,Default_Action,ALLOW,52.87.72.16,/,US,HEAD,0,
2026-03-30 02:58:37.350,WEBACL-ALB,Default_Action,ALLOW,54.87.112.51,/,US,HEAD,0,
2026-03-30 02:58:37.201,WEBACL-ALB,Default_Action,ALLOW,54.87.112.51,/,US,HEAD,0,
2026-03-30 02:58:21.597,WEBACL-ALB,Default_Action,ALLOW,52.87.72.16,/,US,HEAD,0,
2026-03-30 02:58:17.325,WEBACL-ALB,Default_Action,ALLOW,5.161.117.52,/,US,HEAD,0,
2026-03-30 02:58:17.084,WEBACL-ALB,Default_Action,ALLOW,5.161.194.92,/,US,HEAD,0,
2026-03-30 02:58:17.064,WEBACL-ALB,Default_Action,ALLOW,5.161.194.92,/,US,HEAD,0,
2026-03-30 02:58:15.320,WEBACL-ALB,Default_Action,ALLOW,5.161.113.195,/,US,HEAD,0,
2026-03-30 02:58:15.296,WEBACL-ALB,Default_Action,ALLOW,5.161.113.195,/,US,HEAD,0,
2026-03-30 02:58:02.182,WEBACL-ALB,Default_Action,ALLOW,52.15.147.27,/,US,HEAD,0,
2026-03-30 02:58:02.107,WEBACL-ALB,Default_Action,ALLOW,52.15.147.27,/,US,HEAD,0,
2026-03-30 02:57:46.891,WEBACL-ALB,Default_Action,ALLOW,178.156.185.127,/,US,HEAD,0,
2026-03-30 02:57:43.929,WEBACL-ALB,Default_Action,ALLOW,178.156.181.172,/,US,HEAD,0,
2026-03-30 02:57:43.914,WEBACL-ALB,Default_Action,ALLOW,178.156.181.172,/,US,HEAD,0,
2026-03-30 02:57:43.644,WEBACL-ALB,Default_Action,ALLOW,178.156.187.238,/,US,HEAD,0,
2026-03-30 02:57:41.909,WEBACL-ALB,Default_Action,ALLOW,54.87.112.51,/,US,HEAD,0,
2026-03-30 02:57:41.896,WEBACL-ALB,Default_Action,ALLOW,54.87.112.51,/,US,HEAD,0,
2026-03-30 02:57:28.183,WEBACL-ALB,Default_Action,ALLOW,5.161.177.47,/,US,HEAD,0,
2026-03-30 02:57:28.164,WEBACL-ALB,Default_Action,ALLOW,5.161.177.47,/,US,HEAD,0,
2026-03-30 02:57:12.938,WEBACL-ALB,Default_Action,ALLOW,5.161.75.7,/,US,HEAD,0,
2026-03-30 02:57:09.902,WEBACL-ALB,Default_Action,ALLOW,5.161.75.7,/,US,HEAD,0,
