@timestamp,regra,acao,ip_origem,pais,metodo,uri
2026-03-30 03:00:59.619,Default_Action,ALLOW,35.233.95.0,BE,GET,/
2026-03-30 03:00:55.000,Default_Action,ALLOW,178.156.185.231,US,HEAD,/
2026-03-30 03:00:54.959,Default_Action,ALLOW,178.156.185.231,US,HEAD,/
2026-03-30 03:00:47.025,Default_Action,ALLOW,146.75.191.27,BR,GET,/
2026-03-30 03:00:46.579,Default_Action,ALLOW,146.75.191.27,BR,GET,/
2026-03-30 03:00:42.701,Default_Action,ALLOW,128.140.106.114,DE,HEAD,/
2026-03-30 03:00:42.013,Default_Action,ALLOW,128.140.106.114,DE,HEAD,/
2026-03-30 03:00:41.746,Default_Action,ALLOW,128.140.106.114,DE,HEAD,/
2026-03-30 03:00:40.882,Default_Action,ALLOW,52.87.72.16,US,HEAD,/
2026-03-30 03:00:34.523,Default_Action,ALLOW,5.161.73.160,US,HEAD,/
2026-03-30 03:00:34.520,Default_Action,ALLOW,54.87.112.51,US,HEAD,/
2026-03-30 03:00:34.507,Default_Action,ALLOW,54.87.112.51,US,HEAD,/
2026-03-30 03:00:29.506,Default_Action,ALLOW,52.87.72.16,US,HEAD,/
2026-03-30 03:00:29.496,Default_Action,ALLOW,52.87.72.16,US,HEAD,/
2026-03-30 03:00:20.028,Default_Action,ALLOW,5.161.215.244,US,HEAD,/
2026-03-30 03:00:20.008,Default_Action,ALLOW,5.161.215.244,US,HEAD,/
2026-03-30 03:00:06.738,Default_Action,ALLOW,5.161.113.195,US,HEAD,/
2026-03-30 02:59:59.781,Default_Action,ALLOW,5.161.177.47,US,HEAD,/
2026-03-30 02:59:59.764,Default_Action,ALLOW,5.161.177.47,US,HEAD,/
2026-03-30 02:59:59.557,Default_Action,ALLOW,52.87.72.16,US,HEAD,/
2026-03-30 02:59:55.721,Default_Action,ALLOW,5.161.113.195,US,HEAD,/
2026-03-30 02:59:55.702,Default_Action,ALLOW,5.161.113.195,US,HEAD,/
2026-03-30 02:59:45.848,Default_Action,ALLOW,3.212.128.62,US,HEAD,/
2026-03-30 02:59:45.837,Default_Action,ALLOW,3.212.128.62,US,HEAD,/
2026-03-30 02:59:32.397,Default_Action,ALLOW,5.161.215.244,US,HEAD,/
2026-03-30 02:59:25.052,Default_Action,ALLOW,178.156.185.127,US,HEAD,/
2026-03-30 02:59:25.038,Default_Action,ALLOW,178.156.185.127,US,HEAD,/
2026-03-30 02:59:25.020,Default_Action,ALLOW,3.212.128.62,US,HEAD,/
2026-03-30 02:59:22.208,Default_Action,ALLOW,54.167.223.174,US,HEAD,/
2026-03-30 02:59:22.197,Default_Action,ALLOW,54.167.223.174,US,HEAD,/
2026-03-30 02:59:12.581,Default_Action,ALLOW,3.133.226.214,US,HEAD,/
2026-03-30 02:59:12.535,Default_Action,ALLOW,3.133.226.214,US,HEAD,/
2026-03-30 02:59:04.207,Default_Action,ALLOW,167.235.143.113,DE,HEAD,/
2026-03-30 02:59:03.807,Default_Action,ALLOW,167.235.143.113,DE,HEAD,/
2026-03-30 02:58:56.901,Default_Action,ALLOW,178.156.181.172,US,HEAD,/
2026-03-30 02:58:51.828,Default_Action,ALLOW,178.156.181.172,US,HEAD,/
2026-03-30 02:58:51.807,Default_Action,ALLOW,178.156.181.172,US,HEAD,/
2026-03-30 02:58:51.535,Default_Action,ALLOW,157.55.39.9,US,GET,/
2026-03-30 02:58:51.339,Default_Action,ALLOW,5.161.75.7,US,HEAD,/
2026-03-30 02:58:50.319,Default_Action,ALLOW,40.77.167.184,US,GET,/robots.txt
2026-03-30 02:58:48.537,Default_Action,ALLOW,52.87.72.16,US,HEAD,/
2026-03-30 02:58:48.529,Default_Action,ALLOW,52.87.72.16,US,HEAD,/
